2024-11-06 11:50:14,237 - INFO - 
Training epoch: 1
2024-11-06 11:52:09,478 - INFO - [('epoch', 1), ('iter', 360836), ('l_d2', 0.7037469148635864), ('l_g2', 0.05518130213022232), ('l_l1', 0.12028417736291885), ('l_per', 0.08915704488754272), ('l_sty', 0.08541429042816162)]
2024-11-06 11:52:12,772 - INFO - [('epoch', 1), ('iter', 360837), ('l_d2', 0.6828075647354126), ('l_g2', 0.06852511316537857), ('l_l1', 0.11496030539274216), ('l_per', 0.0785374790430069), ('l_sty', 0.07670029997825623)]
2024-11-06 11:52:12,772 - INFO - 
Training epoch: 2
2024-11-06 11:52:15,681 - INFO - [('epoch', 2), ('iter', 360838), ('l_d2', 0.7007217407226562), ('l_g2', 0.05687349662184715), ('l_l1', 0.11533946543931961), ('l_per', 0.07254381477832794), ('l_sty', 0.07277899235486984)]
2024-11-06 11:52:18,597 - INFO - [('epoch', 2), ('iter', 360839), ('l_d2', 0.6843277215957642), ('l_g2', 0.06411681324243546), ('l_l1', 0.12305948138237), ('l_per', 0.07246021181344986), ('l_sty', 0.07337971776723862)]
2024-11-06 11:52:21,415 - INFO - [('epoch', 2), ('iter', 360840), ('l_d2', 0.6949810981750488), ('l_g2', 0.059945423156023026), ('l_l1', 0.10766186565160751), ('l_per', 0.07014359533786774), ('l_sty', 0.07178600132465363)]
2024-11-06 11:52:24,284 - INFO - [('epoch', 2), ('iter', 360841), ('l_d2', 0.6872641444206238), ('l_g2', 0.06215130165219307), ('l_l1', 0.10245668888092041), ('l_per', 0.07789963483810425), ('l_sty', 0.07972844690084457)]
2024-11-06 11:52:27,226 - INFO - [('epoch', 2), ('iter', 360842), ('l_d2', 0.6977905035018921), ('l_g2', 0.05907129868865013), ('l_l1', 0.11485923081636429), ('l_per', 0.06115111708641052), ('l_sty', 0.061564452946186066)]
2024-11-06 11:52:30,082 - INFO - [('epoch', 2), ('iter', 360843), ('l_d2', 0.6868495941162109), ('l_g2', 0.06480878591537476), ('l_l1', 0.1087733805179596), ('l_per', 0.0714091956615448), ('l_sty', 0.0739583671092987)]
2024-11-06 11:52:32,808 - INFO - [('epoch', 2), ('iter', 360844), ('l_d2', 0.6951594948768616), ('l_g2', 0.05850646644830704), ('l_l1', 0.10879885405302048), ('l_per', 0.07750501483678818), ('l_sty', 0.0789521113038063)]
2024-11-06 11:52:35,639 - INFO - [('epoch', 2), ('iter', 360845), ('l_d2', 0.69208824634552), ('l_g2', 0.061795976012945175), ('l_l1', 0.11284146457910538), ('l_per', 0.06473126262426376), ('l_sty', 0.06889380514621735)]
2024-11-06 11:52:38,567 - INFO - [('epoch', 2), ('iter', 360846), ('l_d2', 0.6890735626220703), ('l_g2', 0.0597974956035614), ('l_l1', 0.12003327161073685), ('l_per', 0.0927099958062172), ('l_sty', 0.09008080512285233)]
2024-11-06 11:52:41,507 - INFO - [('epoch', 2), ('iter', 360847), ('l_d2', 0.690899133682251), ('l_g2', 0.06316928565502167), ('l_l1', 0.10672551393508911), ('l_per', 0.07320025563240051), ('l_sty', 0.07392100244760513)]
2024-11-06 11:52:44,448 - INFO - [('epoch', 2), ('iter', 360848), ('l_d2', 0.6929510235786438), ('l_g2', 0.05936000868678093), ('l_l1', 0.1267235279083252), ('l_per', 0.06605809926986694), ('l_sty', 0.06367774307727814)]
2024-11-06 11:52:47,393 - INFO - [('epoch', 2), ('iter', 360849), ('l_d2', 0.6893035173416138), ('l_g2', 0.06299440562725067), ('l_l1', 0.1297757476568222), ('l_per', 0.0828908383846283), ('l_sty', 0.08572109788656235)]
2024-11-06 11:52:50,349 - INFO - [('epoch', 2), ('iter', 360850), ('l_d2', 0.6920207738876343), ('l_g2', 0.05985116958618164), ('l_l1', 0.10989129543304443), ('l_per', 0.06930237263441086), ('l_sty', 0.07330809533596039)]
2024-11-06 11:52:53,302 - INFO - [('epoch', 2), ('iter', 360851), ('l_d2', 0.6910815238952637), ('l_g2', 0.06372355669736862), ('l_l1', 0.110995352268219), ('l_per', 0.06578201800584793), ('l_sty', 0.07337978482246399)]
2024-11-06 11:52:56,101 - INFO - [('epoch', 2), ('iter', 360852), ('l_d2', 0.6928200125694275), ('l_g2', 0.057129617780447006), ('l_l1', 0.12874667346477509), ('l_per', 0.08652427047491074), ('l_sty', 0.08618219196796417)]
2024-11-06 11:52:59,045 - INFO - [('epoch', 2), ('iter', 360853), ('l_d2', 0.687583327293396), ('l_g2', 0.06625168025493622), ('l_l1', 0.12008091062307358), ('l_per', 0.08246749639511108), ('l_sty', 0.08414223045110703)]
2024-11-06 11:53:01,950 - INFO - [('epoch', 2), ('iter', 360854), ('l_d2', 0.6968179941177368), ('l_g2', 0.0570218563079834), ('l_l1', 0.11088012158870697), ('l_per', 0.07755253463983536), ('l_sty', 0.07810153067111969)]
2024-11-06 11:53:05,351 - INFO - [('epoch', 2), ('iter', 360855), ('l_d2', 0.6883866190910339), ('l_g2', 0.06344054639339447), ('l_l1', 0.11871933937072754), ('l_per', 0.08375494927167892), ('l_sty', 0.08967142552137375)]
2024-11-06 11:53:08,207 - INFO - [('epoch', 2), ('iter', 360856), ('l_d2', 0.6934221982955933), ('l_g2', 0.06075666472315788), ('l_l1', 0.12372414022684097), ('l_per', 0.07147355377674103), ('l_sty', 0.07366407662630081)]
2024-11-06 11:53:11,062 - INFO - [('epoch', 2), ('iter', 360857), ('l_d2', 0.689400315284729), ('l_g2', 0.062027812004089355), ('l_l1', 0.11105833202600479), ('l_per', 0.08052080869674683), ('l_sty', 0.08154895156621933)]
2024-11-06 11:53:13,939 - INFO - [('epoch', 2), ('iter', 360858), ('l_d2', 0.6936547756195068), ('l_g2', 0.05894306302070618), ('l_l1', 0.1218235120177269), ('l_per', 0.07141054421663284), ('l_sty', 0.06955232471227646)]
2024-11-06 11:53:16,807 - INFO - [('epoch', 2), ('iter', 360859), ('l_d2', 0.6869131326675415), ('l_g2', 0.0658779963850975), ('l_l1', 0.1092221662402153), ('l_per', 0.08490540832281113), ('l_sty', 0.08194940537214279)]
2024-11-06 11:53:19,685 - INFO - [('epoch', 2), ('iter', 360860), ('l_d2', 0.6990530490875244), ('l_g2', 0.05676300451159477), ('l_l1', 0.11672160029411316), ('l_per', 0.07454489916563034), ('l_sty', 0.07719454914331436)]
2024-11-06 11:53:22,487 - INFO - [('epoch', 2), ('iter', 360861), ('l_d2', 0.6877444386482239), ('l_g2', 0.06454306095838547), ('l_l1', 0.11060769855976105), ('l_per', 0.07070565223693848), ('l_sty', 0.07611151039600372)]
2024-11-06 11:53:25,348 - INFO - [('epoch', 2), ('iter', 360862), ('l_d2', 0.6957924365997314), ('l_g2', 0.05951079726219177), ('l_l1', 0.10321811586618423), ('l_per', 0.07776226103305817), ('l_sty', 0.07893203943967819)]
2024-11-06 11:53:28,195 - INFO - [('epoch', 2), ('iter', 360863), ('l_d2', 0.6909124851226807), ('l_g2', 0.0617947056889534), ('l_l1', 0.10942564904689789), ('l_per', 0.0678226575255394), ('l_sty', 0.07463879138231277)]
2024-11-06 11:53:31,393 - INFO - [('epoch', 2), ('iter', 360864), ('l_d2', 0.6950565576553345), ('l_g2', 0.060037922114133835), ('l_l1', 0.1255749762058258), ('l_per', 0.07250519096851349), ('l_sty', 0.07014446705579758)]
2024-11-06 11:53:34,316 - INFO - [('epoch', 2), ('iter', 360865), ('l_d2', 0.6869540810585022), ('l_g2', 0.0637369379401207), ('l_l1', 0.10447248816490173), ('l_per', 0.08469458669424057), ('l_sty', 0.08548711240291595)]
2024-11-06 11:53:37,241 - INFO - [('epoch', 2), ('iter', 360866), ('l_d2', 0.6932849884033203), ('l_g2', 0.05895887687802315), ('l_l1', 0.10915176570415497), ('l_per', 0.09502681344747543), ('l_sty', 0.08960454165935516)]
2024-11-06 11:53:40,082 - INFO - [('epoch', 2), ('iter', 360867), ('l_d2', 0.6822352409362793), ('l_g2', 0.0632341131567955), ('l_l1', 0.12092296779155731), ('l_per', 0.09107315540313721), ('l_sty', 0.09735677391290665)]
2024-11-06 11:53:43,096 - INFO - [('epoch', 2), ('iter', 360868), ('l_d2', 0.6994811296463013), ('l_g2', 0.05767044425010681), ('l_l1', 0.11557921022176743), ('l_per', 0.0743526890873909), ('l_sty', 0.07663121074438095)]
2024-11-06 11:53:46,012 - INFO - [('epoch', 2), ('iter', 360869), ('l_d2', 0.6838635206222534), ('l_g2', 0.0665518268942833), ('l_l1', 0.11614742130041122), ('l_per', 0.07197456806898117), ('l_sty', 0.07726670801639557)]
2024-11-06 11:53:49,013 - INFO - [('epoch', 2), ('iter', 360870), ('l_d2', 0.6978353261947632), ('l_g2', 0.058120500296354294), ('l_l1', 0.11332610994577408), ('l_per', 0.07884090393781662), ('l_sty', 0.07755184918642044)]
2024-11-06 11:53:51,990 - INFO - [('epoch', 2), ('iter', 360871), ('l_d2', 0.686206579208374), ('l_g2', 0.06311462819576263), ('l_l1', 0.10667796432971954), ('l_per', 0.08212795108556747), ('l_sty', 0.08151859045028687)]
2024-11-06 11:53:54,802 - INFO - [('epoch', 2), ('iter', 360872), ('l_d2', 0.6962139010429382), ('l_g2', 0.059382516890764236), ('l_l1', 0.11796946078538895), ('l_per', 0.0736757144331932), ('l_sty', 0.0701741874217987)]
2024-11-06 11:53:57,734 - INFO - [('epoch', 2), ('iter', 360873), ('l_d2', 0.683470606803894), ('l_g2', 0.06348568201065063), ('l_l1', 0.10524364560842514), ('l_per', 0.08056044578552246), ('l_sty', 0.07807011902332306)]
2024-11-06 11:54:00,593 - INFO - [('epoch', 2), ('iter', 360874), ('l_d2', 0.6958156824111938), ('l_g2', 0.05941662937402725), ('l_l1', 0.10807015746831894), ('l_per', 0.08607661724090576), ('l_sty', 0.08537285774946213)]
2024-11-06 11:54:00,593 - INFO - 
Training epoch: 3
2024-11-06 11:54:03,505 - INFO - [('epoch', 3), ('iter', 360875), ('l_d2', 0.6831648349761963), ('l_g2', 0.06365721672773361), ('l_l1', 0.11372184008359909), ('l_per', 0.08687517046928406), ('l_sty', 0.09083497524261475)]
2024-11-06 11:54:06,362 - INFO - [('epoch', 3), ('iter', 360876), ('l_d2', 0.697057843208313), ('l_g2', 0.05882277712225914), ('l_l1', 0.09833402931690216), ('l_per', 0.08656153827905655), ('l_sty', 0.0898996889591217)]
2024-11-06 11:54:09,169 - INFO - [('epoch', 3), ('iter', 360877), ('l_d2', 0.6847414374351501), ('l_g2', 0.06457879394292831), ('l_l1', 0.11816174536943436), ('l_per', 0.07118057459592819), ('l_sty', 0.0734257772564888)]
2024-11-06 11:54:12,076 - INFO - [('epoch', 3), ('iter', 360878), ('l_d2', 0.6983548402786255), ('l_g2', 0.057644035667181015), ('l_l1', 0.11662346124649048), ('l_per', 0.07402371615171432), ('l_sty', 0.07547474652528763)]
2024-11-06 11:54:15,045 - INFO - [('epoch', 3), ('iter', 360879), ('l_d2', 0.6896511316299438), ('l_g2', 0.0644366666674614), ('l_l1', 0.11602567881345749), ('l_per', 0.0697392001748085), ('l_sty', 0.07222053408622742)]
2024-11-06 11:54:17,918 - INFO - [('epoch', 3), ('iter', 360880), ('l_d2', 0.6921579837799072), ('l_g2', 0.05952910706400871), ('l_l1', 0.12368445098400116), ('l_per', 0.08027001470327377), ('l_sty', 0.08254612982273102)]
2024-11-06 11:54:20,776 - INFO - [('epoch', 3), ('iter', 360881), ('l_d2', 0.6891007423400879), ('l_g2', 0.06226852163672447), ('l_l1', 0.11612577736377716), ('l_per', 0.07219021767377853), ('l_sty', 0.07328548282384872)]
2024-11-06 11:54:23,641 - INFO - [('epoch', 3), ('iter', 360882), ('l_d2', 0.6902952194213867), ('l_g2', 0.06046577915549278), ('l_l1', 0.11570790410041809), ('l_per', 0.07200375944375992), ('l_sty', 0.07214035838842392)]
2024-11-06 11:54:26,498 - INFO - [('epoch', 3), ('iter', 360883), ('l_d2', 0.6957093477249146), ('l_g2', 0.061512138694524765), ('l_l1', 0.11428848654031754), ('l_per', 0.05851607397198677), ('l_sty', 0.06419353187084198)]
2024-11-06 11:54:29,284 - INFO - [('epoch', 3), ('iter', 360884), ('l_d2', 0.6887553930282593), ('l_g2', 0.06223824620246887), ('l_l1', 0.11525952070951462), ('l_per', 0.07295957952737808), ('l_sty', 0.07132208347320557)]
2024-11-06 11:54:32,184 - INFO - [('epoch', 3), ('iter', 360885), ('l_d2', 0.6933237314224243), ('l_g2', 0.05926035717129707), ('l_l1', 0.10370957851409912), ('l_per', 0.08115204423666), ('l_sty', 0.08042546361684799)]
2024-11-06 11:54:35,078 - INFO - [('epoch', 3), ('iter', 360886), ('l_d2', 0.6876964569091797), ('l_g2', 0.06378190964460373), ('l_l1', 0.103115513920784), ('l_per', 0.07664640992879868), ('l_sty', 0.07696031033992767)]
2024-11-06 11:54:38,001 - INFO - [('epoch', 3), ('iter', 360887), ('l_d2', 0.6941490173339844), ('l_g2', 0.05940842628479004), ('l_l1', 0.11227887868881226), ('l_per', 0.08005023747682571), ('l_sty', 0.08441656827926636)]
2024-11-06 11:54:40,951 - INFO - [('epoch', 3), ('iter', 360888), ('l_d2', 0.6908662915229797), ('l_g2', 0.06185483559966087), ('l_l1', 0.1078968271613121), ('l_per', 0.07243127375841141), ('l_sty', 0.07439413666725159)]
2024-11-06 11:54:43,834 - INFO - [('epoch', 3), ('iter', 360889), ('l_d2', 0.6927800178527832), ('l_g2', 0.06128227338194847), ('l_l1', 0.11700044572353363), ('l_per', 0.0812087282538414), ('l_sty', 0.08624550700187683)]
2024-11-06 11:54:46,699 - INFO - [('epoch', 3), ('iter', 360890), ('l_d2', 0.6908662915229797), ('l_g2', 0.06029875949025154), ('l_l1', 0.11386463791131973), ('l_per', 0.07493709027767181), ('l_sty', 0.07555696368217468)]
2024-11-06 11:54:49,568 - INFO - [('epoch', 3), ('iter', 360891), ('l_d2', 0.69093918800354), ('l_g2', 0.06286835670471191), ('l_l1', 0.11444524675607681), ('l_per', 0.07730818539857864), ('l_sty', 0.0858396664261818)]
2024-11-06 11:54:52,452 - INFO - [('epoch', 3), ('iter', 360892), ('l_d2', 0.6955876350402832), ('l_g2', 0.056849461048841476), ('l_l1', 0.13407662510871887), ('l_per', 0.07831355184316635), ('l_sty', 0.07657217234373093)]
2024-11-06 11:54:55,333 - INFO - [('epoch', 3), ('iter', 360893), ('l_d2', 0.6889972686767578), ('l_g2', 0.06917685270309448), ('l_l1', 0.11815731972455978), ('l_per', 0.06619855016469955), ('l_sty', 0.07133298367261887)]
2024-11-06 11:54:58,708 - INFO - [('epoch', 3), ('iter', 360894), ('l_d2', 0.6953972578048706), ('l_g2', 0.0568402074277401), ('l_l1', 0.12631045281887054), ('l_per', 0.07749312371015549), ('l_sty', 0.07570792734622955)]
2024-11-06 11:55:01,556 - INFO - [('epoch', 3), ('iter', 360895), ('l_d2', 0.6863733530044556), ('l_g2', 0.06304781883955002), ('l_l1', 0.12588176131248474), ('l_per', 0.08066465705633163), ('l_sty', 0.08333557099103928)]
2024-11-06 11:55:04,486 - INFO - [('epoch', 3), ('iter', 360896), ('l_d2', 0.6941760778427124), ('l_g2', 0.06040918827056885), ('l_l1', 0.11214295774698257), ('l_per', 0.07631342858076096), ('l_sty', 0.07496076822280884)]
2024-11-06 11:55:07,406 - INFO - [('epoch', 3), ('iter', 360897), ('l_d2', 0.6887162923812866), ('l_g2', 0.06237107515335083), ('l_l1', 0.11391586810350418), ('l_per', 0.07432252168655396), ('l_sty', 0.07588238269090652)]
2024-11-06 11:55:10,721 - INFO - [('epoch', 3), ('iter', 360898), ('l_d2', 0.6932802200317383), ('l_g2', 0.059896260499954224), ('l_l1', 0.11628644168376923), ('l_per', 0.07010908424854279), ('l_sty', 0.06829093396663666)]
2024-11-06 11:55:14,088 - INFO - [('epoch', 3), ('iter', 360899), ('l_d2', 0.6911693811416626), ('l_g2', 0.06253739446401596), ('l_l1', 0.1147698312997818), ('l_per', 0.05847455933690071), ('l_sty', 0.06128556653857231)]
2024-11-06 11:55:16,939 - INFO - [('epoch', 3), ('iter', 360900), ('l_d2', 0.690168023109436), ('l_g2', 0.06108328700065613), ('l_l1', 0.11946124583482742), ('l_per', 0.08732554316520691), ('l_sty', 0.086879201233387)]
2024-11-06 11:55:19,854 - INFO - [('epoch', 3), ('iter', 360901), ('l_d2', 0.6921007633209229), ('l_g2', 0.06051689386367798), ('l_l1', 0.10256356000900269), ('l_per', 0.07395073771476746), ('l_sty', 0.07604718208312988)]
2024-11-06 11:55:22,681 - INFO - [('epoch', 3), ('iter', 360902), ('l_d2', 0.6893230080604553), ('l_g2', 0.061152584850788116), ('l_l1', 0.1284676045179367), ('l_per', 0.07195468991994858), ('l_sty', 0.07403402030467987)]
2024-11-06 11:55:25,540 - INFO - [('epoch', 3), ('iter', 360903), ('l_d2', 0.6902452111244202), ('l_g2', 0.0627889409661293), ('l_l1', 0.12253005802631378), ('l_per', 0.08072131872177124), ('l_sty', 0.07856880873441696)]
2024-11-06 11:55:28,467 - INFO - [('epoch', 3), ('iter', 360904), ('l_d2', 0.6935999393463135), ('l_g2', 0.05873853713274002), ('l_l1', 0.1069534495472908), ('l_per', 0.07391936331987381), ('l_sty', 0.07708263397216797)]
2024-11-06 11:55:31,406 - INFO - [('epoch', 3), ('iter', 360905), ('l_d2', 0.6920565962791443), ('l_g2', 0.06297274678945541), ('l_l1', 0.12110713869333267), ('l_per', 0.0689217671751976), ('l_sty', 0.06575686484575272)]
2024-11-06 11:55:34,423 - INFO - [('epoch', 3), ('iter', 360906), ('l_d2', 0.6897420883178711), ('l_g2', 0.059557195752859116), ('l_l1', 0.11601721495389938), ('l_per', 0.075008325278759), ('l_sty', 0.07673952728509903)]
2024-11-06 11:55:37,185 - INFO - [('epoch', 3), ('iter', 360907), ('l_d2', 0.6865360736846924), ('l_g2', 0.0635785162448883), ('l_l1', 0.11328612267971039), ('l_per', 0.08601725846529007), ('l_sty', 0.0845780000090599)]
2024-11-06 11:55:40,237 - INFO - [('epoch', 3), ('iter', 360908), ('l_d2', 0.6945769190788269), ('l_g2', 0.05786735564470291), ('l_l1', 0.1148565411567688), ('l_per', 0.07498712837696075), ('l_sty', 0.08006487041711807)]
2024-11-06 11:55:43,123 - INFO - [('epoch', 3), ('iter', 360909), ('l_d2', 0.6880804896354675), ('l_g2', 0.0670052096247673), ('l_l1', 0.11621624231338501), ('l_per', 0.0797249972820282), ('l_sty', 0.07790179550647736)]
2024-11-06 11:55:46,033 - INFO - [('epoch', 3), ('iter', 360910), ('l_d2', 0.6961231827735901), ('l_g2', 0.05667644739151001), ('l_l1', 0.1106809452176094), ('l_per', 0.07730895280838013), ('l_sty', 0.07843868434429169)]
2024-11-06 11:55:48,983 - INFO - [('epoch', 3), ('iter', 360911), ('l_d2', 0.6912834644317627), ('l_g2', 0.06176074966788292), ('l_l1', 0.12187319248914719), ('l_per', 0.08368642628192902), ('l_sty', 0.08018070459365845)]
2024-11-06 11:55:48,983 - INFO - 
Training epoch: 4
